name,latitude,longitude,phone,address,location
MAW Vriddhi Charging Station,26.9820167,85.9151396,,Mithila,0101000020E61000009251AFA5917A554037A04A7265FB3A40
Adani Charging Station,21.2961886,82.9213303,,Boharpar,0101000020E610000016D45C13F7BA5440B2721E04D34B3540
WheelsDrive Charging Station,13.1988104,75.0680003,,"53X9+G5F, Bajagoly, Mudar",0101000020E61000009027EE1D5AC4524098350C7ACA652A40
BPCL Charging Station,28.043686,74.733706,,"2PVM+FFG, Biramsar",0101000020E610000041B8020AF5AE5240064B75012F0B3C40
eDrive Charging Station,13.6518763,74.7063404,,"MP24+PMG, NH 66, Tallur",0101000020E6100000FD755DAE34AD52403113FBBAC24D2B40
Kazam Charging Station,28.7624523,77.2667653,,Ghaziabad,0101000020E61000004ACDC3AE125153408E42ED1230C33C40
BPCL Charging Station,10.908503,78.10009,,"W452+C24, Karur",0101000020E6100000062AE3DF67865340C2A2224E27D12540
BPCL Charging Station,19.124136,74.534311,,"4GFM+MP3, MALKUP, Achalpur",0101000020E610000028B9C32632A252409A417C60C71F3340
Bijlify Charging Station,20.0108195,73.7618832,,"2Q66+8QC, Nashik",0101000020E6100000CCD7C0B1C2705240B9A81611C5023440
BESCOM Charging Station,13.105413,77.16601,,"4548+5C6, KEB Colony, Kudur",0101000020E6100000C63368E89F4A5340812557B1F8352A40
Elora Garage,24.8213793,88.9355375,,Naogaon,0101000020E61000009FABADD8DF3B5640831CEFE945D23840
ATHER SHOWROOM,19.9243215,84.5696076,,"WHF9+PRQ, Baunsalundi",0101000020E610000065636F73742455405B7D7555A0EC3340
ElectricPe Charging Station,13.2207174,77.7480692,,"Channahalli, Haralur",0101000020E61000004649A35DE06F5340F950FDDE01712A40
Electric Fuel Charging Station,16.4266267,77.9390732,,FOOD PYRAMID NH 44,0101000020E610000034A37AC6197C5340B4194C68376D3040
Tata Power Charging Station,12.9237289,74.8310243,,"7, 12, Kuloor - Kavoor Rd, Kuloor, Kavoor, Mangaluru",0101000020E61000009AAB8B802FB5524078BD8FFEF2D82940
BPCL Charging Station,27.5316367,77.6575456,,"GMJ4+JXG, Mathura",0101000020E61000003DE8233A156A534076DABF5719883B40
eDRIVE Charging Station,13.456708,74.9845647,,"FX4M+MRP, Karkal",0101000020E6100000F3D2A81B03BF5240A5A487A1D5E92A40
BPCL Charging Station,12.888053,74.835452,,"VRQP+65G, Ladyhill, Mangaluru",0101000020E61000002E58AA0B78B55240B83A00E2AEC62940
WheelsDrive Charging Station,13.057552,75.0383512,,"325Q+28H, Kallabettu, Mudbidri",0101000020E6100000CA70975874C2524087A3AB74771D2A40
BPCL Charging Station,13.47792,74.7133242,,"FPH7+588, Gundmi Village, Bilagi",0101000020E6100000819C8B1AA7AD5240693524EEB1F42A40
BPCL Charging Station,12.9492486,74.8103881,,"WRX6+M5R, New Mangalore, Industrial Area, Baikampady Industrial Area, Mangaluru",0101000020E610000053A40C66DDB352402E8C99E903E62940
Renoch Charging Station,13.2935955,74.7452051,,"7PVW+C3P, Katpadi",0101000020E6100000FF53BB70B1AF52406B813D2652962A40
BPCL Charging Station,12.9401122,74.8160995,,"WRR8+2CX, New Mangalore, Industrial Area, Baikampady, Mangaluru",0101000020E61000000CB265F93AB452402724E36256E12940
Ather Grid Charging Station,13.3346522,74.7367986,,"Mandeep Marbles, No 80/3B1, NH 66, Ambalpadi",0101000020E610000045AF50B527AF5240A4117D8857AB2A40
Electric Vehicle Charging Station,12.9514735,74.8719301,,"XV2C+CW7, Bajpe Proper",0101000020E610000079F9E7B3CDB752407505DB8827E72940
RENOCH Charging Station,13.3494737,74.7372811,,"8PXP+QWJ, Udupi",0101000020E61000005F1D119D2FAF5240CE9F8037EEB22A40
Ather Grid Charging Station,12.923779,74.82998,,"D No 2-T-120/30, Kuloor, Junction, Padukodi, Mangaluru",0101000020E610000062156F641EB552409276A38FF9D82940
Zeon Charging Station,13.0638082,74.7979068,,"3Q7X+G3C Convention Center, Kolnad, Mulki, Kilpady",0101000020E610000063D0AEE710B35240EA6EE877AB202A40
Ather Grid Charging Station,12.8718798,74.8908444,,"Sy No 50/7A, Ather Grid, NH 73, Alape, Padil, Mangaluru",0101000020E6100000C9F43A9803B952400716760767BE2940
Mercedes-Benz Charging Station,12.8669006,74.905156,,"NH 48, Bangalore - Mangalore Hwy, Dayambu, Kannur, Mangaluru",0101000020E6100000CE716E13EEB95240FBC33B65DABB2940
Ather Charging Station,13.3463278,74.7602005,,"Ground Floor, of Himalaya Prestige, Shop No.003,Door No.1, 1-81F(3, Alevoor - Manipal Rd, Kadiyali, Udupi",0101000020E6100000C879FF1FA7B0524029649DE051B12A40
Ather Charging Station,12.8785598,74.85163,,"Indus Commercial Complex, Arya Samaj Rd, Mallikatte, Kadri, Mangaluru",0101000020E6100000B8921D1B81B652401D291197D2C12940
BPCL Charging Station,13.42,74.75,,"CQC2+225, Bramavara, Bilagi",0101000020E61000000000000000B05240D7A3703D0AD72A40
Ather Grid Charging Station,12.9971263,74.7988494,,"HPCL Vijay Fuel Park, NH 66, near Hotel Suraj International, Surathkal, Mangaluru",0101000020E610000078DB3B5920B3524085F6A05687FE2940
Ather Grid Charging Station,12.8688122,74.8488122,,"Next, YMCA Balmatta Maidan Rd, Balmatta, Mangaluru",0101000020E610000088DC67F052B652404CBBE2F3D4BC2940
Electric Vehicle Charging Station,12.8866464,74.8417513,,"VRPR+MP2 मेस्कॉम कॉरपोरेट ऑफिस, Bejai Kavoor Rd, Bejai, Mangaluru",0101000020E61000006437D840DFB55240763B5684F6C52940
Electric Vehicle Charging Station,12.9122578,74.8597798,,"WV65+WW2, Bajpe Main Rd, Mary Hill, Ranipura Ulliya, Konchady, Mangaluru",0101000020E6100000BBB0DAA106B75240B50A517413D32940
Ather Grid Charging Station,12.8796073,75.019841,,"Property 1, M R Complex, Ground Floor, No 14-212 2, D17-5235, Bangalore - Mangalore Hwy, B.C Road, Bantwal, Mangaluru",0101000020E6100000AD872F1345C152404EA555E35BC22940
Zeon Charging Station,13.350355,74.7369762,,"Manipal inn, Bypass Road, Udupi, Bramavara",0101000020E61000008B3B399E2AAF5240ECFA05BB61B32A40
Ather Grid Charging Station,13.3483725,74.7065027,,"No 29-130BIC, Main Rd, near Sabha Bhavana, Kodavoor, Malpe",0101000020E610000049C2195737AD5240CAA65CE15DB22A40
Tata Power Charging Station,12.8856784,74.8435906,,"Ryder's Gear, shop no.8, Ground floor, Micasa building, opp. TATA showroom near KSRTC bus stand, Bejai Main Rd, Bejai, Mangaluru",0101000020E6100000A28D6D63FDB55240168CA5A377C52940
Ather Grid Charging Station,12.9654599,74.8059306,,"D.No.3, Mandeep Marbles, Mangalore, 150, NH 66, near Shetty Ice Cream, Kulai, Mangaluru",0101000020E61000001F76F05D94B35240E93290C250EE2940
WheelsDrive Charging Station,12.8887305,74.8472257,,"VRQW+QV6, Bejai New Rd, Bejai, Mangaluru",0101000020E61000002A7524F238B652405BEA20AF07C72940
Tata Power Charging Station,12.9093101,74.8354601,,"WR5P+P5G, Kottara, Mangaluru",0101000020E61000003AA7A32D78B5524051D8EA1791D12940
Ather Grid Charging Station,12.9082274,74.8378928,,"NH 44, Chowki, Kottara, Mangaluru",0101000020E610000073631F09A0B5524087A9882E03D12940
Electric Vehicle Charging Station,12.9780764,74.8031504,,"575019, Regent Park, Kulai, Mangaluru",0101000020E61000003D71EFD066B3524095FA0D6EC6F42940
Shell Recharge Charging Station,12.9014,74.8419,,"Mangalore - Villupuram Rd, Lohith Nagar, Derebail, Mangaluru",0101000020E610000027A089B0E1B55240933A014D84CD2940
Ather Grid Charging Station,12.8693872,74.8629839,,"VV97+Q55, Ganesh Medicals Building, Pumpwell, Kankanady, Mangaluru",0101000020E61000005FDED2203BB752403D1FAF5120BD2940
chargeMOD Charging Station,12.8807752,74.8498981,,"VRJX+8X6, Mallikatte, Kadri, Mangaluru",0101000020E6100000AF1B00BB64B6524077418EF7F4C22940
Electric Vehicle Charging Station,12.8734587,74.8342455,,"VBM IT SOLUTIONS, Alake Rd, near Jayalakshmi Hotel & Bank Of Baroda, Alake, Kodailbail, Mangaluru",0101000020E610000073D53C4764B5524038D08DFA35BF2940
Ather Grid Charging Station,12.897613,75.04224,,"No 129-4A, VNR Gold, Swarna Soudha, Bantwal Main Rd, Bantwal",0101000020E610000051A5660FB4C25240CCED5EEE93CB2940
Ather Grid Charging Station,12.870132,74.83543,,"Anantessh, Commercial Complex, Car Street, Bhavathi, Bunder, Mangaluru",0101000020E61000003A0664AF77B55240F96706F181BD2940
ElectricPe Charging Station,13.352384,74.7867838,,"9Q2P+XP3, NA, Manipal",0101000020E6100000728170AA5AB252407044F7AC6BB42A40
Ather Grid Charging Station,13.6508336,74.7067555,,"No I-II-178/F, 178/G, Kanchana Hyundai, Tallur, Kundapura, Udupi, Karnataka, 576230 kundapura",0101000020E610000029B16B7B3BAD5240A146C60F3A4D2B40
Ather Grid Charging Station,13.627657,74.690699,,"Ground Floor, Ullas Building, Kundapura Main Rd, Kundapura",0101000020E61000005018946934AC5240003620425C412B40
Jio-bp pulse Charging Station,13.6327308,74.7005611,,"JPM2+35M, NH 66, Kundapura",0101000020E6100000635639FED5AC524005589A4AF5432B40
Ather Grid Charging Station,13.355355,74.797195,,"9Q4W+4VW, road, NH169A, Eshwar Nagar, Manipal, J.H.C.Athrady Parkala",0101000020E610000039622D3E05B35240AEF02E17F1B52A40
Ather Grid Charging Station,13.333888,74.748722,,"Anantha Towers, Court Rd, Kadekoppala, Chitpady, Udupi",0101000020E6100000EDF2AD0FEBAF5240BF0D315EF3AA2A40
Ather Grid Charging Station,13.2021235,74.9948863,,"No 18/4, Bypass Road, near Bata Showroom, Anekere, Karkala",0101000020E6100000436F9637ACBF524091813CBB7C672A40
Ather Grid Charging Station,13.3727415,74.74529,,"Try Auto Gears Pvt Ltd, Opp Bharath Tile Factory, Ambagilu, Udupi, Karnatakla - 576105, Udupi",0101000020E61000004B02D4D4B2AF524056B950F9D7BE2A40
Ather Grid Charging Station,13.142459,74.76986,,"No 7-1BC, Sahakara Sangama, Karkala - Padubidri Rd, Padubidri",0101000020E6100000E89FE06245B15240AF0AD462F0482A40
Ather Grid Charging Station,12.985259,74.801601,,"3, 1, D.No. 4-33, NH 66, opposite Govinda Dass College, Surathkal, Mangaluru",0101000020E610000038DC476E4DB35240E82D1EDE73F82940
Ather Grid Charging Station,13.21549,74.995067,,"4- 164/3, Shalin Towers , Block No.3, Karkala Taluk",0101000020E61000000C957F2DAFBF5240E73A8DB4546E2A40
Zeon Charging Station,12.8712414,74.842773,,"7th floor, VRCV+G4 City Centre Mall, KSR Road, Hampankatta, Mangaluru",0101000020E6100000EA3C2AFEEFB55240AFD74F5A13BE2940
Electric Vehicle Charging Station,12.9140073,74.8559883,,"WV74+J95, Mannagudda, SATHIKALLU, Konchady, Mangaluru",0101000020E61000008E902683C8B652404B9CCBC3F8D32940
chargeMOD Charging Station,13.1945389,74.9989655,,"1/2, Bypass Pulkeri, Pulkeri, Karkala",0101000020E61000004415FE0CEFBF524081994A9A9A632A40
Ather Charging Station,12.86714,74.90453,,"TATA Service Center, NH73, Near, Kannur Bustand, Dayambu, Mangaluru",0101000020E61000000E10CCD1E3B952405C1B2AC6F9BB2940
Shrisai E WHEELS,13.1401963,74.7760126,,"4QRG+3CC, Karkala - Padubidri Rd, Padubidri",0101000020E61000002C92C030AAB15240580A37CFC7472A40
Ather Grid Charging Station,13.509845,75.09647,,"Just Mallya's, Near Bus Stand, Mallya Residency, Agumbe, Thirthahalli, Agumbe",0101000020E6100000E3C281902CC65240E90E62670A052B40
Jio-bp Pulse Charging Station,13.2256151,74.7487158,,"Ground Floor, Survey No. 40/2P5, Muli Right, Mangalore Highway, Mallur, Kaup",0101000020E6100000E7BFACF5EAAF5240B1F787D283732A40
Renoch Charging Station,13.3521921,74.7040205,,"9P23+JQ3, Kodavoor, Malpe",0101000020E6100000ABCDFFAB0EAD5240B2D1DE8552B42A40
Ather Charging Station,12.8760323,74.851871,,"Indus Commercial Complex, Arya Samaj Rd, Mallikatte, Kadri, Mangaluru",0101000020E61000004B5AF10D85B65240B57A3D4E87C02940
Electric Vehicle Charging Station,12.9952672,76.0794582,,"X3WH+4Q4, Bangalore - Mangalore Hwy, Thanniruhalla, Channarayapatna, Hassan",0101000020E61000008A99D8D715055340209095A993FD2940
Statiq Charging Station,12.9564111,75.917204,,"XW48+HV8, Left side of Shiv Surya hotel parking area, M",0101000020E6100000AAF06778B3FA5240121038B7AEE92940
Electric Vehicle Charging Station,13.108798,75.7409537,,"4P5R+G98, Cheekanahalli",0101000020E61000006A5611C96BEF52408CBD175FB4372A40
BPCL Charging Station,13.326764,75.76143,,"8QG6+PH3, Uppalli, Chikkamagaluru",0101000020E61000005F0CE544BBF0524032056B9C4DA72A40
Ather Grid Charging Station,13.0011178,76.142982,,"NH75, Bangalore - Mangalore, Trupthi Comforts, Bypass, Boovanahalli",0101000020E6100000AB7AF99D260953400EE3248392002A40
Zeon Charging Station,12.928859,75.4066942,,"Hotel Adithya View, Bangalore, Dharmastala Rd, Nidle",0101000020E6100000441E1C4707DA5240C630276893DB2940
Electric Vehicle Charging Station,12.9958577,76.0886696,,"Tippu Nagar, Hassan",0101000020E6100000900942C3AC05534087F0790FE1FD2940
Ather Grid Charging Station,13.551856,76.020351,,"NO.541A 36-530-541A/B, MARAVANJI,ROAD, Ambedkar Colony, Kadur",0101000020E610000038DC476E4D015340E833A0DE8C1A2B40
Ather Grid Charging Station,12.9288253,75.7650893,,"Hotel Samrat Grand, B M, Road, Anemahal",0101000020E610000040811C39F7F0524010655EFD8EDB2940
Zeon Charging Station,12.9288387,75.7651181,,"WQH8+J4M, Bandadka - Bengaluru Rd, Anemahal",0101000020E6100000F844E8B1F7F05240B084FFBE90DB2940
Tata Power Charging Station,13.3364959,75.8178564,,8RP9+CF8,0101000020E6100000C1B45EC257F45240E679CB3049AC2A40
Ather Grid Charging Station,12.992488,75.330635,,"Arippdy Matt Complex, College Road, Ujire, Belthangady, Mangaluru",0101000020E61000006EFAB31F29D552404B581B6327FC2940
Electric Vehicle Charging Station,13.1371996,75.6424098,,"577132, Mudigere",0101000020E61000005068FE3D1DE952406F0CA6063F462A40
Ather Grid Charging Station,13.428346,75.25601,,"Hotel Sharada Comforts, Shankaracharya Circle, Sringeri, Sringeri Rural",0101000020E6100000BC5CC47762D05240ADBEBA2A50DB2A40
Electric Vehicle Charging Station,13.3578601,75.5344446,,"9G5M+5Q, Gorigandi",0101000020E610000086A11F5734E252402A16647039B72A40
Zeon Charging Station,13.3155131,75.7955901,,"8Q8W+73X SS Coco nest, Doddakurubara Halli Dairy Rd, Doddkurbralli",0101000020E61000005E21BDF2EAF252404EEBDBEE8AA12A40
Ather Grid Charging Station,13.3294843,75.7745662,,"Apple Fitness Chikkamagaluru, main rood, Basavanahalli, Chikkamagaluru",0101000020E610000091651C7E92F1524046178A2AB2A82A40
Ather Grid Charging Station,12.989466,75.33131,,"X8QJ+QGM, SDMA Society, Gurukula SDMA College PG Centre Campus, Belthangady, near Siddavana, Ujire, Mangaluru",0101000020E61000009EB5DB2E34D5524004029D499BFA2940
Ather Charging Station,13.415674,75.4885,,"NO.541A 36-530-541A/B, MARAVANJI,ROAD, Kadur",0101000020E61000002506819543DF52405298F738D3D42A40
Ola Charging Station,13.7068081,75.8272244,,"PR4G+PVJ, Arsikere - Shivamogga Main Rd, Rangapura",0101000020E6100000021D9C3EF1F45240861854C0E2692B40
Jio-bp pulse Charging Station,13.0024019,76.1397738,,"242Q+WPR, Boovanahalli, B.Kattihalli",0101000020E61000009CF5CE0DF208534083E563D23A012A40
Jio-bp pulse,13.3172554,75.771135,,"No 1, Milan Enterprises, Milan Theater Road, near Hotel Aadrika, Kadur, Chikkamagaluru",0101000020E610000043739D465AF1524074F5BE4C6FA22A40
Statiq Charging Station,12.997233,76.924401,,"Right side of, Empire, Kunigal Entrance, nr. to Bengaluru, Bellur",0101000020E6100000F1D8CF62293B5340E3FBE25295FE2940
Charge Zone Charging Station,13.0351122,77.0870956,,"Hana Imperial 75 Restaurant, Bangalore Mangalore NH 75, hobli, Thippasandra, Magadi",0101000020E610000008686CF9924553409861ED39FA112A40
Statiq Charging Station,12.9623023,76.748946,,"XP6X+WG, Bommana Hally",0101000020E6100000151E34BBEE2F53402DBB16E3B2EC2940
GLIDA Charging Station,12.9662371,76.788623,,"NH-75, near Bellur cross Toll, gate, Halalu, Nagamangala",0101000020E6100000E6779ACC78325340205D11A1B6EE2940
Zeon Charging Station,12.9880625,76.8744375,,"XVQF+6Q5 Hotel Mayura Veg, Jaladagere, Yadiyur",0101000020E61000005839B4C8F6375340D9CEF753E3F92940
Charge Zone Charging Station,12.9703574,76.8012843,,"XQCX+6X8, Chamundeshwari Temple Tirumalapura, Ho) Nagamangala (TQ, Bellur, Irubanahalli",0101000020E610000017D3F13D48335340F9DC64AFD2F02940
Tata Power Charging Station,13.2624431,76.4931652,,"7F6V+W7Q, Bandihalli, Tiptur [Rural], Tiptur",0101000020E61000009F61C504901F5340291F27F15E862A40
Zeon Charging Station,12.9879968,76.8746922,,"XVQF+4VX, Jaladagere",0101000020E61000003E44FEF4FA375340F51A71B7DAF92940
Adani Charging Station,12.9413291,76.3501083,,"Indraprastha Pure Veg, NH 75, Near Udayapura Dandiganahalli Hobli, Taluk, Channarayapatna",0101000020E6100000B9A3A42C68165340D68B46E3F5E12940
Statiq Charging Station,12.98746,76.873352,,"XVPF+X8Q Infront of the Hotel, Chakenahalli",0101000020E61000005B79C9FFE437534061376C5B94F92940
BESCOM Charging Station,13.3136686,77.1438789,,"Section Office Kyathasandra, NH 4, Kyathasandra, Tumakuru, Kyathasandra",0101000020E61000006885D84F354953407090B52B99A02A40
BESCOM Charging Station,13.3438139,77.1079007,,"Shivakumar Swamiji Circle, Dr, Bangalore - Honnavar Hwy, Ward No. 18, Tumkur, Tumakuru",0101000020E6100000CB6D56D8E746534008D2206008B02A40
Electric Vehicle Charging Station,13.2608219,76.4652036,,"7F68+737, RTO Office Rd, Vidya Nagar, Tiptur",0101000020E6100000D0FE51E5C51D53404229B5728A852A40
BESCOM Charging Station,13.3109758,76.9518455,,"8X62+9QR, Subhash nagara, Gubbi Rural, Gubbi",0101000020E610000011566309EB3C5340E3B15538389F2A40
BESCOM Charging Station,13.1524674,77.030739,,"Bescom Section Office, Hebbur",0101000020E61000008DEDB5A0F74153408D690135104E2A40
Zeon Charging Station,12.9905868,76.8820166,,"Paakashala @ Yediyur Koppa, Bangalore - Mangalore Hwy, NH75, Kunigal",0101000020E6100000DDE1C0F572385340D7B26B312EFB2940
Electric Vehicle Charging Station,12.9784593,77.0248073,,"SH 33, Girigowdana palya gate, taluk, near shivaganga tea stall, Kunigal, Tumakuru",0101000020E6100000EF8C5B719641534022EF0B9EF8F42940
Electric Vehicle Charging Station,13.3324125,77.0935502,,"3rd Cross Rd, opp. ESSRA, Nazarabad, Tumakuru",0101000020E61000003162FAB9FC4553402E90A0F831AA2A40
Ather Grid Charging Station,13.32569,77.13055,,"84GJ+76F Hotel GSR, 5th Main Rd, opposite APMC Yard, Mahalakshmi Nagar, Chandana Complex, Tumakuru",0101000020E61000008A1F63EE5A485340BB44F5D6C0A62A40
Ather Grid Charging Station,13.262623,76.45469,,"Ather Space, Vidya Nagar, Tiptur",0101000020E61000005EF415A4191D5340D55A988576862A40
Blink Charging Station,13.4859244,76.4339554,,"#123, Block 4, 50 Feet Road, Indira Nagar, Bangalore, 12345",0101000020E61000000CBBDEECC51B534027A83C15CBF82A40
Electric Vehicle Charging Station,13.4491885,77.0548297,,"NH 48, near gadige, Kora, Bommanahalli, Tumkur",0101000020E61000005E166E5482435340857AFA08FCE52A40
Ather Grid Charging Station,12.9905921,76.8820184,,"XVRJ+6RJ, Bangalore - Mangalore Hwy, NH75, Koppa, Kunigal",0101000020E6100000199E4DFD72385340185A42E32EFB2940
Zeon Charging Station,13.754438,76.882672,,"QV3J+HXQ, Service Rd, Keshav Nagar, Sira",0101000020E61000001346B3B27D38534024B891B245822B40
ElectricPe Charging Station,13.4939735,77.1748858,,"F5VF+HXJ, Jnana Bharti Layout II Block, 1st stage, Jnana Ganga Nagar, Bengaluru, Baraka",0101000020E61000003AE23554314B53406A2E3718EAFC2A40
BESCOM Charging Station,13.3359408,77.1256814,,"84PG+97F, Jayanagar East Shettihalli Main Road, 7th Cross Rd, Dasappa Garden, Tumakuru",0101000020E6100000CBADFF290B485340BEC8BA6E00AC2A40
Ather Grid Charging Station,12.9188191,76.37611,,"No 149/3, SH17, opp. Reliance Petrol Bunk, Channarayapatna",0101000020E6100000B56CAD2F121853405CE102756FD62940
Tata Power Charging Station,13.3452847,77.0802785,,"1, Bangalore - Honnavar Hwy, next to Hemavthi channel, Bheemasandra, Tumakuru",0101000020E61000009B046F48234553404C9EFC27C9B02A40
Tata Power Charging Station,12.9749245,76.8255715,,"179, Bandadka - Bengaluru Rd, next to kalinga residency, Hatna",0101000020E61000009E40D829D63453406823D74D29F32940
ElectricPe Charging Station,13.0105762,77.014704,,"56, Ty, Bengaluru, Karnataka 560022, Herur Kanchagalapura",0101000020E6100000B4C70BE9F04053405E3B623E6A052A40
Ather Grid Charging Station,13.315608,76.25565,,"Tippu Nagar, Yejamana, Arsikere",0101000020E61000003C4ED1915C10534041B62C5F97A12A40
Ather Grid Charging Station,13.1642357,76.6657399,,"5M78+M7X Sri Rameshwara Textiles & Garments, Old PWD Road, Bediswaste, Turuvekere",0101000020E61000001C89867B9B2A5340DDABA0B316542A40
Zeon Charging Station,12.9952336,76.9001524,,"XWW2+328, Zeon charging , Swathi delecacy , NH 75, Koppa, Yadiyur",0101000020E61000009EDACF189C395340BDC227428FFD2940
ElectricPe Charging Station,12.9712002,76.3239279,,"No. 151/2, Nisarga Campus, Behind The Art of Living Off Kanakapura Road Pipeline Road, Udayapura, Post, Bengaluru, Kaggalipura",0101000020E6100000C430163CBB145340C1BC112741F12940
Ultraviolette Automotive Charging Station,12.9511659,76.5645472,,"XH27+FR7, Hirisave",0101000020E61000001943948A212453400C248337FFE62940
Ather Grid Charging Station,13.3156385,76.680654,,"Seegepalya Bus Stop, KTC Hotel, K B Cross, NH 206, Rajathadripura, tumkur",0101000020E61000001079CBD58F2B53408DB7955E9BA12A40
Kazam EV Tech Pvt. Ltd. Charging Station,13.3313837,77.1226173,,"84JF+H25, Sri Krishna Nagar, Siddalingaiahna Palya, Tumakuru",0101000020E6100000205B3BF6D8475340DEDAD31FABA92A40
Ather Energy Charging Station,13.756637,76.897125,,"E Bike Town, opp. Presidency School, Jyoti Nagara, Sira",0101000020E610000023DBF97E6A39534019E3C3EC65832B40
Ather Grid Charging Station,12.963191,76.772095,,"Toll Plaza, Bengaluru - Mangaluru Hwy, next to Karbylu, Karabylu, Kunigal",0101000020E6100000ED9925016A315340639AE95E27ED2940
Atum Charge Charging Station,13.4866422,77.0431912,,"F2PV+M74, Batsandra",0101000020E610000066DE05A5C3425340FDB49B2A29F92A40
BESCOM Charging Station,13.6196715,76.4195863,,"JC99+VR8, Budhihal",0101000020E610000061167F80DA1A5340CB863595453D2B40
Kazam Charging Station,13.081636,76.7587039,,"3QJ5+MF4, Mayasandra",0101000020E61000004076CD9A8E3053403E5A9C31CC292A40
Ultraviolette Automotive Charging Station,12.9628242,76.7733906,,"XQ7F+49C, Karabylu",0101000020E61000002A82493B7F3153404098254BF7EC2940
Ather Grid Charging Station,13.323032,76.249916,,"Ather Test Ride Zone, Anant Complex, near Axis Bank, Anche Koppalu, Arsikere",0101000020E6100000D1AFAD9FFE0F5340791F477364A52A40
Zeon Charging Station,13.3158607,76.6807285,,"Seegepalya, Bus Stop, Rajathadripura",0101000020E6100000213D450E912B5340EF2E617EB8A12A40
BESCOM Charging Station,13.1637192,76.6659641,,"Bus Stop, Dabbeghatta Rd, near KSRTC, Turuvekere, Bediswaste",0101000020E6100000D873E3279F2A53405E74C300D3532A40
BESCOM Charging Station,13.0239364,77.0212718,,"22FC+HGC, Kunigal",0101000020E6100000EE5465845C415340325E4E64410C2A40
Statiq Charging Station,12.9749522,76.8256907,,"XRFG+X7P, Bangalore - Mangalore Hwy, Hatna",0101000020E61000002047CE1DD834534096534CEF2CF32940
BESCOM Charging Station,12.994247,76.8689593,,"XVV9+MHW, Yadiyur, Jaladagere",0101000020E610000086C377079D375340CF4A5AF10DFD2940
BESCOM Charging Station,13.58448,76.537444,,"Address, BESCOM Section Office, Huliyar",0101000020E61000009CDB847B6522534008556AF6402B2B40
Electric Vehicle Charging Station,13.3426945,77.1077397,,"911/16, KEB Main Rd, Koothi Thope, Shrirama Nagar, Tumakuru",0101000020E6100000C6FE0D35E5465340C4094CA775AF2A40
Jio-bp pulse,13.057061,77.159541,,"Sy No 266/10, NH 75, Bangalore - Mangalore Hwy, Marur, Kudur",0101000020E6100000C15774EB354A53400DC17119371D2A40
BluSmart Charging Station,13.1818783,77.6710867,,"5MJC+QG9, Mutthugadahalli",0101000020E6100000F551A115F36A534043B40C271F5D2A40
Statiq Charging Station,13.1973,77.710098,,"Taj Hotel, Right side of the Reception Entry, Bengaluru, Gangamuthanahalli",0101000020E61000001FBDE13E726D534069006F8104652A40
BPCL Charging Station,13.4941534,77.7541782,,"FQV3+MM4, Gundlagurki, Devasthanadahosahalli",0101000020E6100000CB16A47444705340176AA8AC01FD2A40
GLIDA Charging Station,13.1830702,77.6763211,,"5MMG+7F4 Airport Hub, BK Halli Rd, Chikkanahalli, Bengaluru, Bandikodegehalli Amanikere",0101000020E610000010864BD8486B53408EBE9360BB5D2A40
BESCOM Charging Station,13.1853781,77.8001658,,"5RP2+533, Janatha Colony, Valmiki Nagar, Sulibele",0101000020E61000002C989DEA357353400BCAD9E0E95E2A40
BESCOM Charging Station,13.1379167,77.7438185,,"Section office & Quarters premises, Budigere, Budigere Amanikere",0101000020E61000003AEAE8B89A6F5340FD2488049D462A40
BESCOM Charging Station,13.246506,77.7143575,,सौठेगोव्दानाहल्ली,0101000020E6100000C0098508B86D53401A89D008367E2A40
BESCOM Charging Station,13.3103533,77.5402934,,"8G6R+44V, T B Circle, Doddaballapura",0101000020E6100000A8CFC42A946253404E69B3A0E69E2A40
Electric Vehicle Charging Station,13.1845791,77.6915134,,"5MMR+VH4, BK Halli Rd, airport road, Mylanahalli, Bengaluru, Hunachur",0101000020E6100000BB6F6BC1416C5340DC0CDC26815E2A40
Electric Vehicle Charging Station,13.1832896,77.6763643,,"5MMG+8G3, Chikkanahalli, Bandikodegehalli Amanikere",0101000020E6100000A52B7D8D496B5340D3646B22D85D2A40
Ather Grid Charging Station,13.346046,77.6868788,,"Karahalli Cross, Devanahalli, Southegowdanahalli, Hangout@ Nandi, Nandi Hills, Cross, Junction, Bengaluru",0101000020E610000035947FD2F56B5340BFD2F9F02CB12A40
Hindustan Petroleum Corporation Limited Charging Station,13.2273025,77.6885989,,"6MGQ+WCH, NH Service Road, Boovanahalli",0101000020E6100000F1E31E01126C53401C9947FE60742A40
Delta Charging Station,13.2279168,77.721298,,"6PHC+4F, Boodihal",0101000020E6100000E52A16BF296E5340FE6AC482B1742A40
BESCOM Charging Station,13.4387588,77.732405,,"CPQJ+GX2, BB Rd, opposite to Head Post Office, Vapasandra, KEB Colony, Chikkaballapur",0101000020E6100000529B38B9DF6E534017AA51FEA4E02A40
BESCOM Charging Station,13.3853951,77.6957139,,"9MPW+47X O&M Section Office, Nandi Karnataka IN, Nandi Hills",0101000020E6100000D9F79793866C5340CA13AD8152C52A40
Ather Grid Charging Station,13.1686287,77.6320434,,"Survey No 78/10, A2, Bellary Rd, Chikkajala, Bengaluru",0101000020E6100000C52929667368534080553F8056562A40
